RESERVOIR,Date,Full Capacity (mcft),Full Tank Level (ft.),Level (ft),Outflow (cusecs),Rainfall (mm),Storage (mcft),Storage Level (%),Storage as on same day last year (mcft)
CHEMBARAMBAKKAM,01-03-2024,3645.00,85.40,83.19,131.00,0.0,3064.00,84.06,3005.00
CHEMBARAMBAKKAM,01-07-2024,3645.00,85.40,76.35,156.00,1.0,1522.00,41.76,2525.00
CHEMBARAMBAKKAM,02-06-2025,3645.00,85.40,78.97,156.00,0.0,2041.00,55.99,1760.00
CHEMBARAMBAKKAM,02-08-2024,3645.00,85.40,75.69,132.00,0.0,1404.00,38.52,2484.00
CHEMBARAMBAKKAM,03-10-2024,3645.00,85.40,74.05,133.00,0.0,1130.00,31.00,3075.00
CHEMBARAMBAKKAM,05-01-2025,3645.00,85.40,84.55,135.00,0.0,3416.00,93.72,3118.00
CHEMBARAMBAKKAM,05-08-2024,3645.00,85.40,75.90,149.00,80.4,1441.00,39.53,2520.00
CHEMBARAMBAKKAM,06-02-2025,3645.00,85.40,83.73,133.00,0.0,3205.00,87.93,3059.00
CHEMBARAMBAKKAM,06-12-2024,3645.00,85.40,82.40,128.00,0.0,2855.00,78.33,3473.00
CHEMBARAMBAKKAM,07-03-2024,3645.00,85.40,83.26,132.00,0.0,3083.00,84.58,2918.00
CHEMBARAMBAKKAM,07-09-2024,3645.00,85.40,74.74,139.00,0.0,1241.00,34.05,2663.00
CHEMBARAMBAKKAM,08-10-2023,3645.00,85.40,83.45,138.00,9.8,3132.00,85.93,2845.00
CHEMBARAMBAKKAM,09-03-2024,3645.00,85.40,83.25,131.00,0.0,3080.00,84.50,2913.00
CHEMBARAMBAKKAM,09-04-2023,3645.00,85.40,83.13,185.00,0.0,3048.00,83.62,2699.00
CHEMBARAMBAKKAM,10-06-2023,3645.00,85.40,80.01,167.00,0.0,2273.00,62.36,3166.00
CHEMBARAMBAKKAM,10-12-2023,3645.00,85.40,84.04,1623.00,0.0,3284.00,90.10,2864.00
CHEMBARAMBAKKAM,11-02-2023,3645.00,85.40,83.92,139.00,0.0,3254.00,89.27,3418.00
CHEMBARAMBAKKAM,11-05-2023,3645.00,85.40,81.39,139.00,0.0,2601.00,71.36,2527.00
CHEMBARAMBAKKAM,12-06-2024,3645.00,85.40,77.29,142.00,4.0,1698.00,46.58,2294.00
CHEMBARAMBAKKAM,12-07-2023,3645.00,85.40,80.59,162.00,0.0,2408.00,66.06,3085.00
CHEMBARAMBAKKAM,13-07-2024,3645.00,85.40,76.21,147.00,36.0,1497.00,41.07,2401.00
CHEMBARAMBAKKAM,13-09-2024,3645.00,85.40,74.37,135.00,0.0,1180.00,32.37,2638.00
CHEMBARAMBAKKAM,14-02-2024,3645.00,85.40,83.17,140.00,0.0,3059.00,83.92,3215.00
CHEMBARAMBAKKAM,14-12-2023,3645.00,85.40,83.91,324.00,0.0,3251.00,89.19,3200.00
CHEMBARAMBAKKAM,15-09-2023,3645.00,85.40,81.53,138.00,9.4,2635.00,72.29,3094.00
CHEMBARAMBAKKAM,15-10-2023,3645.00,85.40,83.40,190.00,1.0,3120.00,85.60,2840.00
CHEMBARAMBAKKAM,15-11-2024,3645.00,85.40,78.25,134.00,20.2,1889.00,51.82,3130.00
CHEMBARAMBAKKAM,16-01-2025,3645.00,85.40,84.23,135.00,0.0,3332.00,91.41,3141.00
CHEMBARAMBAKKAM,16-11-2023,3645.00,85.40,83.45,166.00,6.4,3132.00,85.93,2835.00
CHEMBARAMBAKKAM,17-12-2023,3645.00,85.40,83.88,223.00,0.0,3243.00,88.97,3190.00
CHEMBARAMBAKKAM,18-01-2024,3645.00,85.40,83.40,130.00,0.0,3120.00,85.60,3443.00
